Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 09:47


AB - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;68;GUSTAVO GONÇALVES;12;;46.805;56.40
2;55;JOAO PEREIRA;12;4.113;47.273;56.02
3;57;WENNER CHAVES;12;6.578;47.019;55.80
4;72;NUNO GONÇALVES;12;10.289;47.539;55.47
5;62;PEDRO SOARES;12;10.824;47.695;55.42
6;53;ROBERTO BARBOSA;12;11.113;47.402;55.40
7;63;MARTIM MAGALHAES;12;13.387;47.574;55.20
8;74;TIAGO SILVA;12;15.254;47.613;55.03
9;65;NICOLAS MACHADO;12;19.574;47.934;54.66
10;51;MIGUEL COSTA;12;20.375;47.281;54.59
11;66;LORENZO SCANFERLA;12;21.242;47.664;54.51
12;70;MARCO COSTA;12;23.512;48.148;54.32
13;61;EDGAR GILVAIA;12;32.113;47.996;53.59
14;71;MARTIM FERREIRA;12;36.492;48.598;53.23
15;75;DUARTE SILVA;11;1 Volta;49.075;51.49
16;52;FRANCISCO MONTEIRO;11;0.547;49.418;51.45
17;58;ANGEL ROCHA;11;3.867;48.273;51.17
18;67;NICO WAGNER;11;25.082;48.235;49.48
19;59;MARTIN ZAPATA;11;37.414;48.785;48.54
;;;;;;


Melhor volta : GUSTAVO GONÇALVES - 46.805 (61.53 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
68;GUSTAVO GONÇALVES;46.953;46.871;46.805;47.062;46.871;46.817;47.082;47.031;47.058;47.133;47.311
;;50.141;47.914;;;;;;;;;
55;JOAO PEREIRA;47.273;47.434;47.344;47.351;47.399;47.586;47.914;47.535;47.926;47.464;47.547
;;47.649;47.691;;;;;;;;;
57;WENNER CHAVES;47.226;47.110;47.019;47.403;47.585;47.290;47.660;47.449;47.422;47.840;47.547
;;48.070;48.496;;;;;;;;;
72;NUNO GONÇALVES;47.852;47.613;48.238;47.793;47.727;47.726;48.031;47.754;47.539;48.454;47.899
;;48.140;47.926;;;;;;;;;
62;PEDRO SOARES;47.695;47.695;48.356;47.738;47.992;47.922;48.117;47.988;47.875;48.692;48.077
;;48.890;47.973;;;;;;;;;
53;ROBERTO BARBOSA;48.762;47.402;48.118;47.925;48.399;47.578;47.566;47.836;48.371;47.766;48.000
;;48.207;48.074;;;;;;;;;
63;MARTIM MAGALHAES;48.293;48.074;47.793;48.828;48.020;48.261;48.086;47.684;48.262;47.886;48.118
;;47.574;48.661;;;;;;;;;
74;TIAGO SILVA;48.313;47.613;49.722;48.665;48.953;48.375;48.160;48.094;48.226;48.176;48.410
;;48.187;48.442;;;;;;;;;
65;NICOLAS MACHADO;48.856;48.098;48.609;48.535;47.934;48.707;48.722;48.504;48.555;48.605;48.573
;;49.192;48.570;;;;;;;;;
51;MIGUEL COSTA;47.516;47.281;59.187;47.848;47.867;47.723;47.836;47.945;48.762;48.355;48.892
;;48.020;48.367;;;;;;;;;
66;LORENZO SCANFERLA;47.727;47.691;47.820;47.903;48.219;47.886;48.293;47.664;57.817;48.992;48.892
;;48.098;48.601;;;;;;;;;
70;MARCO COSTA;48.500;48.289;50.848;48.672;48.148;48.543;49.113;48.805;48.555;48.593;48.813
;;48.872;48.828;;;;;;;;;
61;EDGAR GILVAIA;48.957;49.856;48.976;48.590;48.196;48.425;48.328;48.235;48.789;48.359;49.580
;;47.996;1:00.258;;;;;;;;;
71;MARTIM FERREIRA;48.707;48.883;50.281;48.781;48.598;49.363;49.730;49.547;48.789;49.110;49.626
;;54.820;48.914;;;;;;;;;
75;DUARTE SILVA;49.075;49.250;49.371;49.406;1:06.789;49.813;49.914;49.609;49.359;49.996;51.252
;;51.200;;;;;;;;;;
52;FRANCISCO MONTEIRO;50.004;50.328;49.418;50.273;49.606;49.750;49.687;49.973;49.996;52.199;50.087
;;49.727;;;;;;;;;;
58;ANGEL ROCHA;49.758;48.273;49.774;49.636;55.473;49.937;48.872;56.550;49.867;49.008;50.556
;;48.977;;;;;;;;;;
67;NICO WAGNER;48.836;48.562;56.653;1:23.894;59.149;48.761;48.383;48.613;48.922;49.332;53.576
;;48.235;;;;;;;;;;
59;MARTIN ZAPATA;50.254;51.547;50.520;49.586;49.644;1:35.559;49.152;49.539;48.785;49.325;53.892
;;48.910;;;;;;;;;;










Dia : GUSTAVO GONÇALVES - 46.805


Semana : GUSTAVO GONÇALVES - 46.805


Mês : GUSTAVO GONÇALVES - 46.805


MELHORES TEMPOS - CRG 390


Recorde da pista : GUSTAVO GONÇALVES - 46.805
