Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 11:16


BF - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;72;LORENZO SCANFERLA;12;;46.980;56.51
2;51;FERNANDO GOMES;12;6.488;46.644;55.92
3;65;LUIS CUNHA;12;8.875;47.106;55.70
4;52;JOAO PEREIRA;12;11.230;47.578;55.49
5;57;ALVARO BESSA;12;11.391;47.699;55.48
6;68;AFONSO SERRANO;12;16.883;47.746;54.99
7;63;DIOGO SILVA;12;17.793;47.914;54.91
8;67;MARTIM FERREIRA;12;19.598;48.050;54.76
9;62;WENNER CHAVES;12;22.086;47.973;54.54
10;59;NIKITA SIMONOV;12;24.141;47.832;54.37
11;61;MARTIM MAGALHAES;12;26.504;47.762;54.16
12;75;DAVID PERALTA;12;29.762;48.394;53.89
13;53;ALLEN HUANG;12;33.144;47.993;53.61
14;71;NICOLAS MACHADO;12;35.008;48.887;53.45
15;70;CAETANO CARMO;12;36.187;48.277;53.35
16;55;FRANCISCO MONTEIRO;12;40.344;49.500;53.01
17;58;MARTIN ZAPATA;12;48.477;48.664;52.36
18;66;DUARTE SILVA;11;1 Volta;48.929;50.39
;;;;;;
;;;;;;


Melhor volta : FERNANDO GOMES - 46.644 (61.74 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
72;LORENZO SCANFERLA;47.129;47.016;46.980;47.082;47.153;47.355;47.812;47.493;47.351;47.781;47.313
;;47.235;47.371;;;;;;;;;
51;FERNANDO GOMES;48.059;46.644;47.582;47.981;47.879;48.097;48.493;48.386;47.688;47.570;47.750
;;47.406;47.215;;;;;;;;;
65;LUIS CUNHA;47.222;47.106;48.172;48.172;47.871;47.921;48.852;49.473;47.937;47.801;48.005
;;47.945;47.598;;;;;;;;;
52;JOAO PEREIRA;47.641;48.199;47.860;47.578;47.859;48.074;48.375;48.883;48.320;48.313;48.051
;;47.867;47.652;;;;;;;;;
57;ALVARO BESSA;48.953;47.816;47.856;47.699;48.066;48.121;48.895;48.433;48.489;47.906;48.201
;;48.281;47.899;;;;;;;;;
68;AFONSO SERRANO;47.988;47.746;48.715;48.266;48.508;48.753;48.973;48.731;48.582;48.582;48.455
;;48.070;48.551;;;;;;;;;
63;DIOGO SILVA;47.914;48.734;48.434;48.457;48.847;49.305;49.567;48.976;48.668;48.520;48.638
;;47.984;48.254;;;;;;;;;
67;MARTIM FERREIRA;48.078;48.606;48.609;48.699;48.336;49.074;48.957;48.782;48.968;48.325;48.557
;;48.050;48.204;;;;;;;;;
62;WENNER CHAVES;48.340;48.195;48.254;48.254;48.414;48.789;49.262;49.976;49.000;48.207;48.569
;;48.168;47.973;;;;;;;;;
59;NIKITA SIMONOV;47.973;47.832;53.559;48.004;48.070;48.422;49.738;49.723;49.195;48.371;48.909
;;47.867;48.157;;;;;;;;;
61;MARTIM MAGALHAES;47.926;48.586;48.215;48.000;48.609;48.570;48.661;49.402;56.894;47.934;49.077
;;47.762;48.371;;;;;;;;;
75;DAVID PERALTA;50.027;49.570;49.586;48.723;48.602;48.734;48.957;48.941;49.055;49.313;49.305
;;48.394;51.766;;;;;;;;;
53;ALLEN HUANG;49.840;48.148;48.488;48.184;48.816;49.407;49.578;49.414;50.804;48.590;49.598
;;47.993;55.917;;;;;;;;;
71;NICOLAS MACHADO;50.711;49.500;49.242;49.774;49.367;49.906;50.086;49.348;49.332;49.066;49.574
;;49.680;48.887;;;;;;;;;
70;CAETANO CARMO;49.945;50.160;49.485;56.718;48.797;49.246;49.622;49.152;48.867;48.742;49.852
;;49.215;48.277;;;;;;;;;
55;FRANCISCO MONTEIRO;49.781;49.637;49.757;50.114;51.097;50.122;50.988;50.105;50.465;49.934;50.083
;;49.500;49.500;;;;;;;;;
58;MARTIN ZAPATA;54.566;56.160;49.160;49.079;48.769;49.328;49.614;49.078;49.808;48.664;50.608
;;48.910;54.165;;;;;;;;;
66;DUARTE SILVA;58.129;49.059;49.043;49.179;49.196;48.929;50.860;52.219;1:02.644;49.969;51.768
;;50.226;;;;;;;;;;










Dia : FERNANDO GOMES - 46.644


Semana : FERNANDO GOMES - 46.644


Mês : FERNANDO GOMES - 46.644


MELHORES TEMPOS - CRG 390


Recorde da pista : FERNANDO GOMES - 46.644
