Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 10:55


DA - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;67;NUNO GONÇALVES;12;;47.047;56.65
2;68;PEDRO SOARES;12;5.937;47.363;56.11
3;74;ROBERTO BARBOSA;12;8.262;46.906;55.90
4;72;RODRIGO TAVEIRA;12;11.082;47.391;55.64
5;57;MIGUEL COSTA;12;11.859;47.324;55.57
6;61;LOURENÇO IGREJA;12;6.836;47.152;56.03
7;62;GUSTAVO GONÇALVES;12;12.601;47.597;55.51
8;53;NICO WAGNER;12;13.015;47.750;55.47
9;63;JOAO OLIVEIRA;12;15.707;47.800;55.23
10;55;MARCO MONTENEGRO;12;18.461;47.410;54.99
11;75;MARCO COSTA;12;19.441;47.918;54.90
12;59;ANGEL ROCHA;12;21.152;47.707;54.76
13;66;EDGAR GILVAIA;12;23.414;48.320;54.56
14;65;JOSE LEITE;12;28.820;48.543;54.10
15;71;JAIME TEIXEIRA;12;32.621;48.726;53.78
16;52;ALEKSEI IACHMENEV;12;35.851;48.011;53.51
17;70;TIAGO SILVA;12;51.445;48.035;52.25
18;51;SANTIAGO MADALENO;11;1 Volta;47.063;51.27
19;58;GABRYELL RODRIGUES;10;2 Voltas;51.012;43.28
;;;;;;


Melhor volta : ROBERTO BARBOSA - 46.906 (61.40 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
67;NUNO GONÇALVES;47.196;47.304;47.477;47.047;47.445;47.195;47.293;47.485;47.586;47.406;47.372
;;47.410;47.629;;;;;;;;;
68;PEDRO SOARES;48.449;47.664;47.445;47.493;47.511;47.383;47.520;47.363;47.703;49.067;47.796
;;48.406;47.558;;;;;;;;;
61;LOURENÇO IGREJA;47.434;47.465;48.347;48.649;47.152;48.090;47.512;47.402;47.891;49.777;47.998
;;48.746;47.516;;;;;;;;;
74;ROBERTO BARBOSA;47.692;48.055;47.640;47.660;47.715;47.742;47.789;48.946;46.906;47.863;47.909
;;48.692;48.211;;;;;;;;;
72;RODRIGO TAVEIRA;48.816;48.180;47.773;48.313;47.465;48.054;47.700;47.425;47.391;47.430;48.044
;;47.793;50.195;;;;;;;;;
57;MIGUEL COSTA;49.239;48.047;48.078;48.113;47.695;47.336;47.324;47.473;47.578;47.531;48.170
;;48.153;51.480;;;;;;;;;
62;GUSTAVO GONÇALVES;48.590;48.145;47.597;47.848;47.785;47.773;47.758;48.063;47.769;47.848;48.381
;;48.727;52.671;;;;;;;;;
53;NICO WAGNER;48.742;48.496;48.086;48.262;47.933;47.946;48.375;47.992;48.168;47.750;48.174
;;48.363;47.980;;;;;;;;;
63;JOAO OLIVEIRA;49.000;48.344;48.336;47.800;48.157;49.039;48.726;48.641;48.469;48.113;48.538
;;48.660;49.176;;;;;;;;;
55;MARCO MONTENEGRO;48.446;48.351;47.551;47.410;47.567;47.464;47.450;48.390;47.469;47.547;48.692
;;48.922;57.746;;;;;;;;;
75;MARCO COSTA;52.015;49.039;48.508;47.973;48.390;48.243;47.922;48.457;47.918;48.609;48.633
;;48.387;48.140;;;;;;;;;
59;ANGEL ROCHA;48.582;48.371;48.476;48.282;48.254;49.214;47.707;48.817;48.687;50.332;48.679
;;48.442;48.984;;;;;;;;;
66;EDGAR GILVAIA;49.074;48.922;49.656;48.562;48.766;48.379;48.320;48.418;48.442;48.859;48.728
;;48.871;48.469;;;;;;;;;
65;JOSE LEITE;50.293;48.871;49.137;48.942;49.343;50.516;48.922;48.543;48.734;48.914;49.143
;;48.809;48.695;;;;;;;;;
71;JAIME TEIXEIRA;50.101;48.985;49.117;48.726;51.004;49.696;49.179;49.051;48.977;49.328;49.471
;;49.691;49.801;;;;;;;;;
52;ALEKSEI IACHMENEV;1:05.172;48.367;48.188;48.762;48.336;48.453;48.207;48.019;48.797;48.227;49.756
;;48.543;48.011;;;;;;;;;
70;TIAGO SILVA;1:08.890;48.035;48.305;48.203;48.313;55.074;48.676;48.507;48.590;48.301;50.970
;;49.184;51.562;;;;;;;;;
51;SANTIAGO MADALENO;47.727;47.277;47.063;48.125;47.261;48.954;47.464;47.500;47.672;49.551;52.336
;;1:37.102;;;;;;;;;;
58;GABRYELL RODRIGUES;51.906;51.985;52.594;52.093;53.254;53.543;51.012;2:16.441;54.606;55.680;1:01.311










Dia : TOMAS XAVIER - 46.688


Semana : TOMAS XAVIER - 46.688


Mês : TOMAS XAVIER - 46.688


MELHORES TEMPOS - CRG 390


Recorde da pista : TOMAS XAVIER - 46.688
