Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 10:11


DC - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;66;HUGO CARVALHIDO;12;;47.238;56.28
2;58;SANTIAGO MADALENO;12;3.855;47.059;55.93
3;67;MARCO MONTENEGRO;12;4.359;47.164;55.88
4;52;EDUARDO FAVILLA;12;9.262;47.015;55.44
5;61;LOURENÇO IGREJA;12;12.551;47.563;55.15
6;71;LUIS SOUSA;12;24.988;48.636;54.08
7;51;FILIPE OLIVEIRA;12;25.097;47.082;54.07
8;59;TOMAS XAVIER;12;0.230;46.688;56.26
9;63;MIGUEL SOUSA;12;26.699;48.180;53.93
10;68;ALEKSEI IACHMENEV;12;28.246;48.609;53.80
11;75;RUBEN AZEVEDO;12;29.504;48.356;53.70
12;72;JOSE LEITE;12;30.605;48.226;53.61
13;65;JOAO OLIVEIRA;12;32.847;48.199;53.42
14;62;RODRIGO TAVEIRA;12;34.156;48.480;53.31
15;55;JAIME TEIXEIRA;12;35.340;48.200;53.22
16;74;MARCO OLIVEIRA;12;35.484;49.207;53.20
17;57;MIGUEL SANTOS;12;44.160;49.133;52.50
18;70;GABRYELL RODRIGUES;10;2 Voltas;54.036;43.56
;;;;;;
;;;;;;


Melhor volta : EDUARDO FAVILLA - 47.015 (61.26 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
66;HUGO CARVALHIDO;47.453;47.657;47.238;47.402;47.461;47.496;47.895;47.340;47.281;47.434;47.585
;;47.882;48.481;;;;;;;;;
58;SANTIAGO MADALENO;47.450;47.754;47.125;47.171;47.477;47.980;47.872;48.121;47.871;47.359;47.552
;;47.059;47.390;;;;;;;;;
67;MARCO MONTENEGRO;47.973;49.129;47.840;47.445;47.684;47.847;47.914;47.981;47.816;47.504;47.802
;;47.332;47.164;;;;;;;;;
52;EDUARDO FAVILLA;50.172;50.738;47.719;47.738;47.981;47.504;47.437;47.774;47.015;47.164;48.172
;;48.082;48.743;;;;;;;;;
61;LOURENÇO IGREJA;47.871;48.558;47.563;47.945;48.422;48.078;48.141;48.304;47.817;47.605;48.128
;;48.094;49.145;;;;;;;;;
71;LUIS SOUSA;49.519;51.313;49.191;49.332;49.293;49.625;48.844;48.895;48.636;48.860;49.287
;;48.781;49.160;;;;;;;;;
51;FILIPE OLIVEIRA;47.242;1:00.535;49.328;54.227;48.176;47.297;48.058;47.981;48.168;48.996;49.619
;;47.082;48.343;;;;;;;;;
59;TOMAS XAVIER;47.211;50.847;46.688;46.750;47.531;47.031;47.258;47.031;46.946;46.875;47.529
;;47.578;48.605;;;;;;;;;
63;MIGUEL SOUSA;49.351;50.754;49.465;49.262;50.293;48.812;48.883;48.672;49.258;48.988;49.197
;;48.449;48.180;;;;;;;;;
68;ALEKSEI IACHMENEV;49.754;50.375;49.028;49.871;49.168;49.101;50.645;48.883;48.925;50.122;49.460
;;49.043;48.609;;;;;;;;;
75;RUBEN AZEVEDO;49.297;53.066;49.719;49.242;50.063;48.972;49.020;48.902;49.137;49.117;49.580
;;50.078;48.356;;;;;;;;;
72;JOSE LEITE;49.641;50.754;49.558;48.934;51.605;49.543;49.399;48.226;49.035;49.032;49.571
;;50.347;48.789;;;;;;;;;
65;JOAO OLIVEIRA;49.184;50.949;49.340;49.433;49.508;49.004;55.930;49.023;49.090;48.199;49.811
;;49.344;48.730;;;;;;;;;
62;RODRIGO TAVEIRA;48.480;1:01.172;49.313;49.042;49.063;48.949;50.012;48.906;49.707;48.524;50.120
;;48.968;49.305;;;;;;;;;
55;JAIME TEIXEIRA;49.812;50.914;49.918;54.321;48.781;48.883;49.840;48.894;49.199;48.200;49.893
;;49.961;49.996;;;;;;;;;
74;MARCO OLIVEIRA;49.348;49.836;49.398;49.446;49.597;49.661;50.105;49.551;54.109;49.207;50.094
;;49.258;51.617;;;;;;;;;
57;MIGUEL SANTOS;49.828;50.535;49.950;1:01.031;49.808;49.586;49.500;49.598;49.285;49.363;50.566
;;49.180;49.133;;;;;;;;;
70;GABRYELL RODRIGUES;59.446;1:00.449;56.754;57.465;57.011;55.168;54.036;54.421;54.293;1:01.164;57.020










Dia : TOMAS XAVIER - 46.688


Semana : TOMAS XAVIER - 46.688


Mês : TOMAS XAVIER - 46.688


MELHORES TEMPOS - CRG 390


Recorde da pista : TOMAS XAVIER - 46.688
