Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 10:32


EF - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;75;TIAGO LAGINHAS;12;;46.879;56.61
2;70;LUIS CUNHA;12;7.769;47.273;55.89
3;68;JOAO PAIVA;12;8.246;47.203;55.85
4;52;HUGO MARINHO;12;11.199;47.082;55.59
5;65;FERNANDO GOMES;12;14.027;46.872;55.33
6;58;IVO BAPTISTA;12;14.383;47.531;55.30
7;51;RICARDO PEDROSO;12;14.902;47.484;55.26
8;55;ALVARO BESSA;12;16.129;47.082;55.15
9;63;AFONSO SERRANO;12;19.434;47.351;54.86
10;72;DIOGO SILVA;12;19.605;47.532;54.84
11;57;NIKITA SIMONOV;12;25.351;48.004;54.35
12;66;LUIS GUEDES;12;30.711;48.754;53.89
13;53;JOAO ALVES;12;36.512;47.953;53.41
14;71;DAVID PERALTA;12;36.664;49.050;53.40
15;61;ALLEN HUANG;12;37.340;48.246;53.34
16;62;CAETANO CARMO;12;38.676;48.746;53.23
17;59;LEO MARINHO;12;39.133;48.282;53.20
18;67;CLAUDIO OLIVEIRA;12;35.461;48.192;53.50
;;;;;;
;;;;;;


Melhor volta : FERNANDO GOMES - 46.872 (61.44 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
75;TIAGO LAGINHAS;47.973;47.629;47.133;47.066;46.961;46.918;46.996;46.981;46.879;47.144;47.196
;;47.391;47.285;;;;;;;;;
70;LUIS CUNHA;49.914;47.750;47.765;47.364;47.433;47.348;47.469;47.605;47.344;47.273;47.767
;;48.446;47.503;;;;;;;;;
68;JOAO PAIVA;49.765;47.754;47.906;47.496;47.895;47.523;47.586;47.668;47.496;47.203;47.776
;;47.485;47.535;;;;;;;;;
52;HUGO MARINHO;48.575;48.011;47.887;47.539;47.676;47.722;47.500;47.122;47.082;47.117;47.913
;;48.035;50.699;;;;;;;;;
65;FERNANDO GOMES;50.489;48.636;47.832;47.579;47.738;47.687;47.168;47.207;47.203;46.872;47.757
;;47.328;47.351;;;;;;;;;
58;IVO BAPTISTA;47.984;48.457;48.539;48.332;47.727;47.797;47.531;47.918;47.887;47.859;48.049
;;47.735;48.828;;;;;;;;;
51;RICARDO PEDROSO;48.996;48.617;48.469;48.789;48.453;47.605;47.485;47.484;47.867;47.856;48.213
;;48.894;48.043;;;;;;;;;
55;ALVARO BESSA;54.180;50.707;47.805;48.129;48.132;48.602;47.609;47.723;47.082;47.379;48.501
;;47.285;47.383;;;;;;;;;
63;AFONSO SERRANO;48.496;50.781;48.812;48.684;47.836;48.160;47.746;48.106;47.351;48.035;48.344
;;47.442;48.680;;;;;;;;;
72;DIOGO SILVA;49.109;50.137;48.117;48.281;48.082;48.836;47.532;47.851;48.199;47.672;48.390
;;47.735;49.136;;;;;;;;;
57;NIKITA SIMONOV;48.938;51.429;48.836;48.481;48.390;48.207;48.293;48.098;48.004;48.453;48.769
;;49.301;48.804;;;;;;;;;
66;LUIS GUEDES;49.879;50.172;49.171;49.239;48.961;48.754;48.910;49.238;48.941;48.957;49.235
;;49.235;49.371;;;;;;;;;
67;CLAUDIO OLIVEIRA;49.871;50.160;50.395;49.785;49.055;50.964;49.454;48.570;48.941;48.192;49.427
;;49.101;48.641;;;;;;;;;
53;JOAO ALVES;49.301;49.238;53.117;48.481;48.613;50.676;49.906;49.270;48.832;47.953;49.442
;;48.679;49.239;;;;;;;;;
71;DAVID PERALTA;49.672;50.239;49.277;49.394;49.313;49.512;49.718;50.188;50.008;49.050;49.657
;;49.438;50.082;;;;;;;;;
61;ALLEN HUANG;50.332;49.871;49.895;50.125;49.758;54.707;48.871;48.394;49.266;48.590;49.699
;;48.344;48.246;;;;;;;;;
62;CAETANO CARMO;51.343;49.860;52.633;49.660;49.129;48.945;49.676;48.804;49.825;49.332;49.770
;;49.297;48.746;;;;;;;;;
59;LEO MARINHO;50.679;49.364;48.976;49.219;49.543;49.062;48.282;48.808;49.051;50.328;49.228
;;48.391;49.039;;;;;;;;;










Dia : TOMAS XAVIER - 46.688


Semana : TOMAS XAVIER - 46.688


Mês : TOMAS XAVIER - 46.688


MELHORES TEMPOS - CRG 390


Recorde da pista : TOMAS XAVIER - 46.688
