Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 13:04


FINAL A - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;70;HUGO CARVALHIDO;13;;45.418;61.59
2;74;TIAGO LAGINHAS;13;1.527;45.371;61.43
3;73;MARCO MONTENEGRO;13;1.742;45.414;61.41
4;51;LORENZO SCANFERLA;13;5.511;45.640;61.03
5;75;JOAO PEREIRA;13;5.679;45.645;61.02
6;63;PEDRO SOARES;13;5.976;45.801;60.99
7;59;TOMAS XAVIER;13;2.480;45.613;61.34
8;61;HUGO MARINHO;13;6.347;45.719;60.95
9;58;WENNER CHAVES;13;11.265;45.734;60.47
10;72;LUIS CUNHA;13;11.601;45.715;60.43
11;67;IVO BAPTISTA;13;12.043;45.699;60.39
12;57;NUNO GONÇALVES;13;13.527;46.152;60.25
13;69;ROBERTO BARBOSA;13;13.601;45.672;60.24
14;54;JOAO PAIVA;13;13.777;45.535;60.22
15;53;LOURENÇO IGREJA;13;15.301;46.063;60.08
16;52;ALVARO BESSA;13;22.777;46.114;59.36
17;55;FERNANDO GOMES;12;1 Volta;45.707;60.97
18;68;GUSTAVO GONÇALVES;13;15.449;45.726;60.06
;;;;;;
;;;;;;


Melhor volta : TIAGO LAGINHAS - 45.371 (63.48 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
70;HUGO CARVALHIDO;49.957;45.418;45.605;45.711;45.539;45.957;55.379;45.633;45.625;45.883;46.762
;;45.687;45.805;45.719;;;;;;;;
74;TIAGO LAGINHAS;48.715;46.105;45.762;45.426;45.371;45.605;46.024;45.617;45.644;45.575;46.768
;;45.699;56.144;46.305;;;;;;;;
73;MARCO MONTENEGRO;48.304;45.621;45.504;45.567;45.414;45.586;45.617;54.980;46.352;46.605;46.736
;;45.754;45.649;46.617;;;;;;;;
59;TOMAS XAVIER;48.070;45.875;45.746;55.250;45.879;45.641;45.613;45.871;45.828;45.954;46.707
;;45.757;45.875;45.840;;;;;;;;
51;LORENZO SCANFERLA;56.739;46.320;45.852;45.660;45.980;45.809;45.980;45.899;45.640;45.774;46.775
;;46.039;45.980;46.410;;;;;;;;
75;JOAO PEREIRA;48.644;45.742;55.664;45.645;46.039;45.949;45.821;45.765;45.778;45.742;46.856
;;45.886;46.075;46.382;;;;;;;;
63;PEDRO SOARES;57.551;45.980;46.243;46.144;45.973;45.820;46.586;45.836;46.047;46.023;46.922
;;46.008;45.801;45.984;;;;;;;;
61;HUGO MARINHO;48.043;45.824;46.324;56.043;45.848;45.719;45.867;46.000;46.094;45.859;46.882
;;45.945;45.895;46.015;;;;;;;;
58;WENNER CHAVES;47.739;47.527;46.281;46.301;46.066;45.848;46.215;45.887;46.000;45.734;46.955
;;45.906;45.832;55.082;;;;;;;;
72;LUIS CUNHA;47.691;47.082;46.703;47.012;46.414;45.715;45.953;45.992;46.047;56.332;47.200
;;46.184;46.047;46.433;;;;;;;;
67;IVO BAPTISTA;47.590;47.094;47.633;46.359;46.055;45.887;45.699;45.820;56.363;46.161;47.165
;;46.187;46.063;46.242;;;;;;;;
57;NUNO GONÇALVES;57.578;46.989;46.496;46.551;46.406;46.437;46.313;46.219;46.511;46.301;47.266
;;46.152;46.262;46.254;;;;;;;;
69;ROBERTO BARBOSA;47.699;58.133;47.473;46.203;46.215;46.883;47.015;45.672;46.571;45.925;47.329
;;45.801;45.961;45.738;;;;;;;;
54;JOAO PAIVA;48.004;47.086;46.242;56.531;46.489;46.808;46.891;45.781;46.996;45.953;47.247
;;45.989;45.906;45.535;;;;;;;;
53;LOURENÇO IGREJA;57.754;46.578;46.629;46.610;46.359;46.934;46.320;46.367;47.336;46.195;47.354
;;46.063;46.148;46.321;;;;;;;;
68;GUSTAVO GONÇALVES;48.489;45.875;45.726;45.836;55.653;46.078;46.105;46.141;46.113;45.938;46.975
;;46.066;46.039;46.625;;;;;;;;
52;ALVARO BESSA;48.184;56.859;47.059;54.457;46.765;46.122;46.132;46.114;46.203;46.367;47.965
;;46.148;46.426;46.711;;;;;;;;
55;FERNANDO GOMES;57.289;46.094;45.707;45.859;46.371;45.871;45.907;45.867;46.133;45.941;46.925
;;46.215;45.848;;;;;;;;;










Dia : TIAGO LAGINHAS - 45.371


Semana : TIAGO LAGINHAS - 45.371


Mês : TIAGO LAGINHAS - 45.371


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
