Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 12:39


FINAL B  - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;57;AFONSO SERRANO;13;;46.000;60.88
2;70;NIKITA SIMONOV;13;3.602;46.031;60.52
3;63;RICARDO PEDROSO;13;4.316;45.914;60.45
4;68;FILIPE OLIVEIRA;13;5.129;46.094;60.37
5;55;MIGUEL SOUSA;13;5.648;46.101;60.32
6;65;LUIS SOUSA;13;9.434;46.200;59.96
7;74;MARTIM FERREIRA;13;10.863;46.035;59.82
8;59;JOAO OLIVEIRA;13;11.434;46.101;59.77
9;67;MIGUEL COSTA;13;11.578;45.832;59.75
10;52;RODRIGO TAVEIRA;13;11.957;46.297;59.72
11;58;DIOGO SILVA;13;12.336;46.125;59.68
12;61;RUBEN AZEVEDO;13;12.367;46.340;59.68
13;51;MARCO COSTA;13;14.449;45.766;59.48
14;53;NICOLAS MACHADO;13;14.910;46.383;59.44
15;72;JOAO ALVES;13;15.082;46.219;59.42
16;71;MARTIM MAGALHAES;13;32.504;47.860;57.82
17;66;SANTIAGO MADALENO;8;5 Voltas;47.594;57.09
18;62;TIAGO SILVA;4;9 Voltas;47.480;52.58
;;;;;;
;;;;;;


Melhor volta : MARCO COSTA - 45.766 (62.93 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
57;AFONSO SERRANO;50.824;46.168;46.000;46.157;55.886;46.172;46.098;46.414;46.309;46.214;47.308
;;46.051;46.129;46.586;;;;;;;;
70;NIKITA SIMONOV;49.852;46.808;46.110;47.429;46.317;46.031;46.176;46.246;46.066;46.579;47.403
;;56.273;46.152;46.200;;;;;;;;
63;RICARDO PEDROSO;49.211;46.410;46.625;57.070;46.199;46.750;46.739;46.254;46.328;46.593;47.424
;;46.489;45.933;45.914;;;;;;;;
68;FILIPE OLIVEIRA;49.364;46.722;46.403;47.121;56.527;46.094;46.594;46.570;46.098;46.664;47.463
;;46.472;46.133;46.262;;;;;;;;
55;MIGUEL SOUSA;48.594;46.703;46.309;47.090;46.101;56.524;46.617;46.406;46.402;46.297;47.374
;;46.254;46.301;46.273;;;;;;;;
65;LUIS SOUSA;49.223;46.582;46.324;57.200;47.714;47.098;46.520;46.410;46.394;46.496;47.717
;;46.200;47.257;46.911;;;;;;;;
74;MARTIM FERREIRA;1:00.047;46.726;47.008;46.789;48.063;47.000;47.000;46.035;46.207;46.629;47.863
;;46.527;46.578;47.621;;;;;;;;
59;JOAO OLIVEIRA;49.886;46.368;46.101;46.758;46.301;46.305;46.449;46.148;46.750;48.016;48.067
;;55.859;52.270;47.672;;;;;;;;
67;MIGUEL COSTA;48.754;56.895;46.223;46.593;47.864;47.007;46.918;45.832;46.403;46.226;47.526
;;46.110;46.629;46.394;;;;;;;;
52;RODRIGO TAVEIRA;58.609;46.859;46.618;47.246;47.402;47.027;46.407;46.297;47.390;46.508;47.829
;;46.375;46.977;48.062;;;;;;;;
58;DIOGO SILVA;49.282;57.918;46.125;46.445;46.762;46.605;47.180;46.160;46.262;46.636;47.732
;;46.524;47.035;47.586;;;;;;;;
61;RUBEN AZEVEDO;49.153;59.300;46.582;46.629;47.645;46.836;47.125;46.746;46.641;46.441;47.904
;;46.488;46.340;46.828;;;;;;;;
51;MARCO COSTA;48.821;46.695;45.766;46.984;57.281;47.332;46.657;46.433;46.668;46.649;47.766
;;46.726;46.102;48.855;;;;;;;;
53;NICOLAS MACHADO;50.246;58.714;48.036;47.121;46.590;46.554;46.551;46.441;46.473;46.598;47.953
;;46.867;46.383;46.816;;;;;;;;
72;JOAO ALVES;50.203;58.058;46.262;46.219;47.004;46.457;46.969;46.648;46.262;46.949;47.771
;;46.391;46.527;47.078;;;;;;;;
71;MARTIM MAGALHAES;51.145;48.418;47.972;48.113;59.598;47.860;47.976;48.102;48.047;48.378;49.247
;;48.090;48.094;48.422;;;;;;;;
66;SANTIAGO MADALENO;1:00.300;47.762;48.363;47.594;48.207;48.293;47.828;48.082;;;49.553
62;TIAGO SILVA;50.176;47.480;47.617;1:03.293;;;;;;;52.141










Dia : MARCO COSTA - 45.766


Semana : MARCO COSTA - 45.766


Mês : MARCO COSTA - 45.766


MELHORES TEMPOS - CRG 390


Recorde da pista : MARCO COSTA - 45.766
