Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM B 


02/11/2024 - Apex Timing GoKarts 4.52.03






02/11/2024 - 12:16


FINAL C - Final - CRG 390


Clssf.;Kart;Piloto;Voltas;Diferença;Melhor volta;km/h
1;58;ALEKSEI IACHMENEV;13;;46.180;60.32
2;61;EDGAR GILVAIA;13;1.879;46.179;60.14
3;63;DAVID PERALTA;13;7.535;46.308;59.60
4;52;CAETANO CARMO;13;7.934;46.187;59.56
5;55;DUARTE SILVA;13;8.797;46.161;59.48
6;51;CLAUDIO OLIVEIRA;13;10.782;46.527;59.29
7;57;LEO MARINHO;13;11.379;46.426;59.24
8;68;ALLEN HUANG;13;13.938;46.555;59.00
9;62;JAIME TEIXEIRA;13;19.434;47.164;58.49
10;75;JOSE LEITE;13;19.743;47.016;58.46
11;67;MARCO OLIVEIRA;13;21.410;47.297;58.31
12;59;FRANCISCO MONTEIRO;13;21.727;46.457;58.28
13;65;ANGEL ROCHA;13;11.946;46.133;59.18
14;71;LUIS GUEDES;13;28.207;47.840;57.70
15;72;NICO WAGNER;13;29.172;46.363;57.62
16;66;MARTIN ZAPATA;13;35.817;48.340;57.03
17;53;BABRYELL RODRIGUES;11;2 Voltas;51.547;50.42
;;;;;;
;;;;;;
;;;;;;


Melhor volta : ANGEL ROCHA - 46.133 (62.43 km/h)


Records do tempo da volta

Kart;Piloto;1;2;3;4;5;6;7;8;9;10;Méd.
58;ALEKSEI IACHMENEV;51.058;47.196;46.296;46.352;46.922;46.465;46.254;46.300;46.243;46.507;47.664
;;46.977;46.180;56.886;;;;;;;;
61;EDGAR GILVAIA;51.336;47.105;46.735;46.355;47.184;46.539;46.500;46.312;56.958;46.414;47.714
;;46.179;46.414;46.254;;;;;;;;
63;DAVID PERALTA;50.461;47.329;46.492;47.480;57.535;46.715;46.598;46.402;46.375;46.641;47.881
;;46.308;46.594;47.527;;;;;;;;
52;CAETANO CARMO;1:02.152;46.789;46.449;46.696;46.910;47.680;46.922;46.570;46.187;46.532;47.926
;;46.566;46.957;46.629;;;;;;;;
55;DUARTE SILVA;50.938;47.351;46.864;1:01.386;47.063;47.293;47.812;46.387;47.137;46.386;48.285
;;46.328;46.161;46.601;;;;;;;;
51;CLAUDIO OLIVEIRA;50.902;47.141;57.921;47.805;47.676;48.629;47.414;46.527;46.805;46.594;48.295
;;46.851;46.688;46.883;;;;;;;;
57;LEO MARINHO;51.238;47.149;46.722;47.059;47.629;47.367;47.324;57.157;46.668;46.824;48.146
;;46.426;47.613;46.734;;;;;;;;
65;ANGEL ROCHA;1:02.535;47.297;47.848;47.086;46.734;47.559;47.851;46.875;46.727;46.679;48.209
;;46.692;46.133;46.711;;;;;;;;
68;ALLEN HUANG;1:09.902;47.024;48.511;47.442;46.582;46.816;47.699;46.629;46.899;46.582;48.814
;;46.555;46.882;47.063;;;;;;;;
62;JAIME TEIXEIRA;50.395;47.918;58.457;47.164;47.808;48.000;48.754;47.700;47.785;47.672;48.840
;;47.785;47.465;48.027;;;;;;;;
75;JOSE LEITE;1:03.480;47.473;48.019;47.231;47.472;47.391;48.363;47.813;47.160;47.113;48.740
;;47.016;47.066;48.032;;;;;;;;
67;MARCO OLIVEIRA;51.047;58.621;48.965;47.805;47.457;47.500;48.398;48.676;47.508;47.523;48.924
;;47.297;47.766;47.460;;;;;;;;
59;FRANCISCO MONTEIRO;50.246;46.969;47.679;46.950;1:00.172;47.566;55.605;47.133;46.457;46.688;49.070
;;47.004;48.019;47.430;;;;;;;;
71;LUIS GUEDES;1:04.164;48.613;48.445;47.840;47.918;48.457;49.016;48.348;48.093;47.918;49.549
;;48.309;48.293;48.730;;;;;;;;
72;NICO WAGNER;50.188;58.230;46.477;47.535;47.136;1:05.657;46.929;47.063;46.363;49.473;49.624
;;47.074;46.527;46.465;;;;;;;;
66;MARTIN ZAPATA;50.949;48.949;49.000;48.711;48.535;49.114;1:00.949;48.855;48.340;49.477;49.978
;;49.179;48.711;48.946;;;;;;;;
53;BABRYELL RODRIGUES;1:09.219;56.078;56.551;53.281;1:07.101;53.766;51.711;53.469;52.566;55.637;56.447
;;51.547;;;;;;;;;;










Dia : ANGEL ROCHA - 46.133


Semana : ANGEL ROCHA - 46.133


Mês : ANGEL ROCHA - 46.133


MELHORES TEMPOS - CRG 390


Recorde da pista : ANGEL ROCHA - 46.133
