Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;69;HUGO CARVALHIDO;10;;;46.33;55.887;;
2;67;ANDRE ANDRADE;10;1.832;1.832;46.19;55.875;;
3;58;GUSTAVO GONÇALVES;10;12.692;10.860;45.40;55.723;;
4;75;MIGUEL COSTA;10;14.086;1.394;45.30;56.449;;
5;70;FILIPE OLIVEIRA;10;18.207;4.121;45.01;55.554;;
6;68;SANTIAGO MADALENO;10;19.680;1.473;44.91;56.114;;
7;63;JOAO ALVES;10;20.641;0.961;44.84;56.992;;
8;64;ALVARO BESSA;10;29.512;8.871;44.23;56.492;;
9;59;VITOR FERNANDES;10;30.172;0.660;44.18;56.976;;
10;74;LUIS SOUSA;10;33.723;3.551;43.94;57.715;;
11;54;MIGUEL SOUSA;10;34.625;0.902;43.88;57.507;;
12;51;ALEXANDRE MEIRELES;10;35.012;0.387;43.86;56.820;;
13;65;JAIME TEIXEIRA;10;41.442;6.430;43.43;57.699;;
14;60;EDGAR GILVAIA;10;43.235;1.793;43.32;57.004;;
15;72;RUBEN AZEVEDO;10;52.911;9.676;42.69;59.152;;
16;71;JOSE LEITE;10;53.188;0.277;42.68;58.965;;
17;73;ANGEL ROCHA;10;57.766;4.578;42.39;58.355;;
18;61;FRANCISCO MONTEIRO;10;58.981;1.215;42.31;59.438;;
19;53;MIGUEL LOPES;9;1 Volta;1 Volta;41.31;59.508;;
20;66;BRUNO FREITAS;9;1 Volta;55.640;37.94;1:04.942;;3.000
Melhor volta : FILIPE OLIVEIRA - 55.554 (51.84 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:40;BRUNO FREITAS;3.000;FALTA PESO


07/12/2024 - 09:41


AB - Final













Dia : FILIPE OLIVEIRA - 55.554


Semana : DOMINGOS MACHADO - 52.692


Mês : DOMINGOS MACHADO - 52.692


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
