Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;59;GUSTAVO GONÇALVES;11;;;49.95;52.575;;
2;69;GUILHERME PEREZ;11;0.172;0.172;49.94;52.606;;
3;53;ANDRE ANDRADE;11;1.844;1.672;49.81;52.469;;
4;68;TOMAS XAVIER;11;2.031;0.187;49.79;52.750;;
5;71;ALVARO BESSA;11;5.735;3.704;49.51;53.054;;
6;60;WENNER CHAVES;11;5.969;0.234;49.49;52.926;;
7;52;CAETANO CARMO;11;10.422;4.453;49.15;53.254;;
8;61;FILIPE OLIVEIRA;11;11.281;0.859;49.08;52.933;;
9;63;HUGO MARINHO;11;11.438;0.157;49.07;52.907;;
10;67;FERNANDO GOMES;11;12.610;1.172;48.98;52.860;;5.000
11;66;VITOR FERNANDES;11;16.688;4.078;48.67;53.379;;
12;51;MARCO COSTA;11;18.395;1.707;48.55;53.528;;
13;65;JOAO ALVES;11;18.176;;48.56;53.207;;1 Posição
14;72;JOAO OLIVEIRA;11;21.684;3.508;48.30;53.282;;
15;54;MIGUEL LOPES;11;23.414;1.730;48.17;53.996;;
16;73;DIOGO SILVA;11;29.235;5.821;47.75;53.633;;
17;58;MIGUEL SOUSA;11;29.445;0.210;47.74;53.469;;
18;74;FRANCISCO MONTEIRO;11;30.344;0.899;47.67;54.199;;
19;57;DUARTE SILVA;11;39.028;8.684;47.06;54.000;;10.000
20;64;BRUNO FREITAS;11;50.172;11.144;46.29;55.215;;
Melhor volta : ANDRE ANDRADE - 52.469 (54.89 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:16;DUARTE SILVA;10.000;PROVOCAÇÃO DESPISTE
00:17;JOAO ALVES;1 Posição;ULTRAPASSAGEM FORÇADA
00:35;FERNANDO GOMES;5.000;TOQUE


07/12/2024 - 11:17


BF - Final













Dia : ANDRE ANDRADE - 52.469


Semana : ANDRE ANDRADE - 52.469


Mês : ANDRE ANDRADE - 52.469


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
