Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;63;HUGO CARVALHIDO;11;;;49.94;52.734;
2;68;RUI ALMEIDA;11;5.270;5.270;49.53;53.050;
3;59;LUIS CUNHA;11;5.520;0.250;49.51;53.082;
4;72;ALEXANDRE MEIRELES;11;5.898;0.378;49.48;52.899;
5;52;TIAGO LAGINHAS;11;6.234;0.336;49.46;52.574;
6;58;SANTIAGO MADALENO;11;6.406;0.172;49.44;52.625;
7;64;JOAO PAIVA;11;10.504;4.098;49.13;53.066;
8;69;RUBEN AZEVEDO;11;11.301;0.797;49.07;53.180;
9;74;JAIME TEIXEIRA;11;11.910;0.609;49.02;53.250;
10;66;LUIS SOUSA;11;14.504;2.594;48.83;53.504;
11;73;PAULO MOREIRA;11;18.891;4.387;48.50;53.653;
12;61;EDGAR GILVAIA;11;19.133;0.242;48.48;53.574;
13;60;MARTIM PEREIRA;11;19.426;0.293;48.46;53.476;
14;71;MIGUEL COSTA;11;19.531;0.105;48.45;53.211;
15;57;NIKITA SIMONOV;11;20.262;0.731;48.40;53.664;
16;54;LUIS GACHINEIRO;11;21.012;0.750;48.34;53.633;
17;67;JOSE LEITE;11;21.477;0.465;48.31;53.808;
18;51;FRANCESCO GOMES;11;27.137;5.660;47.89;53.996;
19;65;ALEKSEI IACHMENEV;11;27.277;0.140;47.88;53.195;
20;53;ANGEL ROCHA;11;28.727;1.450;47.78;53.429;
Melhor volta : TIAGO LAGINHAS - 52.574 (54.78 km/h)


07/12/2024 - 10:54


DA - Final













Dia : TIAGO LAGINHAS - 52.574


Semana : TIAGO LAGINHAS - 52.574


Mês : TIAGO LAGINHAS - 52.574


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
