Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;51;TOMAS XAVIER;11;;;49.28;53.301;;
2;75;HUGO MARINHO;11;0.293;0.293;49.26;53.226;;
3;54;GUILHERME PEREZ;11;4.457;4.164;48.94;53.450;;
4;64;JOAO PEREIRA;11;5.422;0.965;48.87;53.402;;
5;71;AFONSO SERRANO;11;6.484;1.062;48.79;53.516;;
6;69;WENNER CHAVES;11;6.715;0.231;48.77;53.438;;
7;73;FERNANDO GOMES;11;6.942;0.227;48.76;53.258;;
8;68;CARLOS MONTEIRO;11;14.363;7.421;48.21;53.465;;
9;70;DIOGO SILVA;11;9.254;;48.58;53.777;;1 Posição
10;61;MARTIM MAGALHAES;11;14.707;5.453;48.18;53.848;;
11;74;IVO BAPTISTA;11;15.406;0.699;48.13;53.750;;
12;60;PEDRO ALVES;11;18.348;2.942;47.92;54.528;;
13;53;MARCO COSTA;11;18.957;0.609;47.87;53.890;;
14;63;TIAGO SILVA;11;21.422;2.465;47.69;54.012;;
15;59;KATE LOUREN;11;22.715;1.293;47.60;54.309;;
16;72;ALLEN HUANG;11;23.027;0.312;47.58;54.410;;
17;67;JOAO OLIVEIRA;11;23.973;0.946;47.51;53.957;;
18;66;CAETANO CARMO;11;25.871;1.898;47.38;53.973;;
19;65;DUARTE SILVA;11;28.152;2.281;47.22;54.840;;
20;58;FILIPE MAGALHAES;11;46.445;18.293;45.96;56.324;;
Melhor volta : HUGO MARINHO - 53.226 (54.11 km/h)


07/12/2024 - 10:29


EF - Final













Dia : HUGO MARINHO - 53.226


Semana : DOMINGOS MACHADO - 52.692


Mês : DOMINGOS MACHADO - 52.692


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
