Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;69;TIAGO LAGINHAS;11;;;48.77;52.625;;
2;74;HUGO CARVALHIDO;11;0.180;0.180;48.75;52.575;;
3;65;GUILHERME PEREZ;11;1.258;1.078;48.67;52.676;;
4;64;CARLOS MONTEIRO;11;1.684;0.426;48.64;52.707;;
5;54;PEDRO SOARES;11;4.309;2.625;48.45;52.758;;
6;58;FILIPE OLIVEIRA;11;5.063;0.754;48.39;52.722;;
7;71;RUI ALMEIDA;11;6.387;1.324;48.29;52.672;;
8;72;TOMAS XAVIER;11;6.567;0.180;48.28;52.731;;
9;73;JOAO PEREIRA;11;6.887;0.320;48.26;52.796;;
10;53;GUSTAVO GONÇALVES;11;7.141;0.254;48.24;52.816;;3.000
11;59;NUNO GONÇALVES;11;11.911;4.770;47.89;53.339;;
12;61;WENNER CHAVES;11;12.622;0.711;47.84;53.183;;
13;66;ALVARO BESSA;11;14.411;1.789;47.71;53.235;;
14;52;HUGO MARINHO;11;14.524;0.113;47.70;52.973;;
15;57;LUIS CUNHA;11;14.696;0.172;47.69;52.934;;
16;67;AFONSO SERRANO;11;17.352;2.656;47.50;53.180;;
17;63;ANDRE ANDRADE;11;17.583;0.231;47.48;53.297;;
18;51;SANTIAGO MADALENO;11;20.434;2.851;47.28;53.250;;3.000
19;68;ALEXANDRE MEIRELES;11;30.454;10.020;46.58;53.797;;
;60;LORENZO SCANFERLA;11;;;49.52;53.121;;
Melhor volta : HUGO CARVALHIDO - 52.575 (54.78 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:29;GUSTAVO GONÇALVES;3.000;TOQUE CHICANE
00:30;SANTIAGO MADALENO;3.000;TOQUE CHICANE


07/12/2024 - 13:03


FINAL A - Final













Dia : ANDRE ANDRADE - 52.469


Semana : ANDRE ANDRADE - 52.469


Mês : ANDRE ANDRADE - 52.469


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
