Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;59;FERNANDO GOMES;10;;;47.67;52.844;;
2;53;JOAO PAIVA;10;1.242;1.242;47.58;52.750;;
3;67;RICARDO PEDROSO;10;6.348;5.106;47.18;53.039;;
4;74;MARCO COSTA;10;7.981;1.633;47.05;53.098;;
5;69;MIGUEL COSTA;10;8.059;0.078;47.05;53.102;;
6;73;JOAO ALVES;10;8.391;0.332;47.02;53.175;;
7;71;RUBEN AZEVEDO;10;9.250;0.859;46.95;53.367;;
8;54;MARTIM MAGALHAES;10;12.098;2.848;46.74;53.480;;
9;72;VITOR FERNANDES;10;12.547;0.449;46.70;53.285;;5.000
10;64;IVO BAPTISTA;10;13.488;0.941;46.63;53.461;;
11;52;MARTIM FERREIRA;10;14.938;1.450;46.52;53.375;;
12;58;CAETANO CARMO;10;15.110;0.172;46.51;53.316;;
13;65;LUIS SOUSA;10;17.934;2.824;46.30;53.457;;
14;57;PEDRO ALVES;10;18.621;0.687;46.25;53.645;;3.000
15;61;JAIME TEIXEIRA;10;19.434;0.813;46.19;53.625;;
16;60;LUIS GACHINEIRO;10;20.024;0.590;46.14;53.758;;
17;63;DAVID PERALTA;10;20.149;0.125;46.13;53.769;;
18;51;NIKITA SIMONOV;10;20.274;0.125;46.13;53.372;;
19;66;TIAGO SILVA;10;22.625;2.351;45.95;53.691;;3.000
20;68;DIOGO SILVA;10;28.184;5.559;45.55;54.067;;
Melhor volta : JOAO PAIVA - 52.750 (54.60 km/h)

Classificações

Hora;Piloto;Classificação;Razão
00:53;PEDRO ALVES;3.000;TOQUE CHICANE
00:53;TIAGO SILVA;3.000;TOQUE CHICANE
00:53;VITOR FERNANDES;5.000;TOQUE


07/12/2024 - 12:39


FINAL B - Final













Dia : ANDRE ANDRADE - 52.469


Semana : ANDRE ANDRADE - 52.469


Mês : ANDRE ANDRADE - 52.469


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
