Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - B 


07/12/2024 - Apex Timing GoKarts 4.52.04





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;53;EDGAR GILVAIA;11;;;47.50;53.336;;
2;65;JOSE LEITE;11;4.071;4.071;47.21;53.504;;
3;69;FRANCESCO GOMES;11;4.742;0.671;47.17;53.004;;
4;73;MIGUEL LOPES;11;5.770;1.028;47.09;53.562;;
5;52;ALEKSEI IACHMENEV;11;9.957;4.187;46.80;53.636;;
6;59;JOAO OLIVEIRA;11;12.629;2.672;46.62;53.918;;
7;57;MIGUEL SOUSA;11;13.000;0.371;46.59;53.539;;
8;60;ALLEN HUANG;11;14.477;1.477;46.49;53.895;;
9;67;MARTIM PEREIRA;11;14.657;0.180;46.48;53.140;;
10;68;CLAUDIO OLIVEIRA;11;15.707;1.050;46.41;54.012;;
11;58;KATE LOUREN;11;15.910;0.203;46.39;53.828;;
12;51;DOMENICO PAGANONI;11;18.071;2.161;46.25;53.997;;
13;66;PAULO MOREIRA;11;18.461;0.390;46.22;53.954;;
14;63;NICOLAS MACHADO;11;21.110;2.649;46.04;54.285;;
15;72;FRANCISCO MONTEIRO;11;32.125;11.015;45.32;54.336;;10.000
16;54;FILIPE MAGALHAES;11;32.688;0.563;45.28;54.657;;
17;71;BRUNO FREITAS;11;38.977;6.289;44.88;54.972;;
18;61;DUARTE SILVA;11;45.700;6.723;44.45;54.379;;
;74;MARTIN ZAPATA;11;18.653;;46.21;53.840;;
;64;ANGEL ROCHA;11;24.293;5.640;45.83;53.742;;
Melhor volta : FRANCESCO GOMES - 53.004 (54.34 km/h)

Classificações

Hora;Piloto;Classificação;Razão
01:12;FRANCISCO MONTEIRO;10.000;PROVOCAÇÃO DESPISTE


07/12/2024 - 12:15


FINAL C - Final













Dia : ANDRE ANDRADE - 52.469


Semana : ANDRE ANDRADE - 52.469


Mês : ANDRE ANDRADE - 52.469


MELHORES TEMPOS - CRG 390


Recorde da pista : TIAGO LAGINHAS - 45.371
